Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
3070 4433.81  6928.07 202.4645996 47.2253952    7.57    4.07 
3071 2579.66  6929.60 202.5025330 47.2254105    6.82    3.92 
3072 2309.46  6931.76 202.5080566 47.2254410    6.90    3.25 
3073 2527.80  6933.71 202.5035858 47.2254677    6.78    3.29 
3074 2477.97  6935.67 202.5046082 47.2254944    6.78    3.88 
3075 2669.34  6935.82 202.5006866 47.2254982    6.00    4.17 
3076 5671.73  6935.33 202.4392853 47.2254906    7.28    4.07 
3077 2445.22  6937.83 202.5052795 47.2255249    6.90    3.61 
3078 4976.80  6938.22 202.4534912 47.2255363    6.78    2.86 
3079 2420.19  6939.92 202.5057831 47.2255554    6.96    3.35 
3080 2563.84  6939.70 202.5028534 47.2255516    6.78    2.80 
3081 5558.12  6939.47 202.4416046 47.2255478    6.78    2.96 
3082 2496.00  6942.28 202.5042419 47.2255859    6.86    4.06 
3083 3904.09  6943.17 202.4754333 47.2256050    8.71    4.61 
3084 3233.52  6945.73 202.4891510 47.2256393    7.96    3.98 
3085 2647.30  6948.60 202.5011444 47.2256775    6.70    3.47 
3086 5624.25  6948.31 202.4402618 47.2256737    6.84    3.96 
3087 2594.65  6949.17 202.5022125 47.2256851    7.49    4.70 
3088 2520.40  6952.55 202.5037384 47.2257309    6.88    3.81 
3089 5778.61  6951.73 202.4371033 47.2257195    8.06    4.96 
3090 5352.98  6955.11 202.4458008 47.2257690    6.52    2.93 
3091 2631.10  6956.93 202.5014801 47.2257919    6.68    3.14 
3092 5579.87  6957.62 202.4411621 47.2258034    6.00    3.94 
3093 2671.52  6960.94 202.5006409 47.2258492    6.46    3.57 
3094 2497.38  6963.34 202.5042114 47.2258797    6.90    3.02 
3095 2546.68  6964.35 202.5032043 47.2258949    6.90    3.19 
3096 5369.33  6964.47 202.4454651 47.2258987    7.51    4.19 
3097 2600.20  6966.80 202.5021057 47.2259293    6.88    4.24 
3098 5600.73  6968.36 202.4407349 47.2259521    8.66    4.31 
3099 5641.25  6968.03 202.4399109 47.2259445    6.68    2.69 
3100 1654.63  6969.71 202.5214386 47.2259636    8.61    4.37 
3101 4571.85  6970.68 202.4617767 47.2259865    6.90    3.49 
3102 4474.23  6971.98 202.4637756 47.2260056    6.80    3.68 
3103 2872.39  6972.95 202.4965363 47.2260170    6.38    3.99 
3104 5468.78  6975.25 202.4434357 47.2260475    6.98    4.30 
3105 5747.39  6974.52 202.4377441 47.2260361    6.00    4.06 
3106 6350.30  6974.71 202.4253998 47.2260323    8.06    3.97 
3107 2835.37  6975.60 202.4972992 47.2260513    7.70    4.85 
3108 4522.25  6976.68 202.4627991 47.2260704    6.86    3.22 
3109 3018.55  6978.19 202.4935455 47.2260895    8.61    4.66 
3110 2680.92  6979.10 202.5004578 47.2261009    6.48    3.20 
3111 4636.08  6978.77 202.4604645 47.2260971    6.80    2.84 
3112  858.06  6982.87 202.5377350 47.2261353    7.74    4.10 
3113 7024.87  6984.62 202.4116058 47.2261658    8.06    3.86 
3114 2565.22  6985.97 202.5028229 47.2261963    6.78    2.87 
3115 5339.94  6985.88 202.4460754 47.2261963    6.88    3.41 
3116  833.39  6987.04 202.5382385 47.2261963    7.58    4.14 
3117 2614.10  6986.98 202.5018158 47.2262077    6.70    3.43 
3118 5686.33  6987.48 202.4389801 47.2262154    6.84    3.89 
3119 5397.40  6989.79 202.4449005 47.2262497    6.78    3.55 
3120 5607.11  6992.42 202.4406128 47.2262840    7.51    4.02 
3121 4502.86  6992.51 202.4631958 47.2262878    7.14    3.67 
3122 5725.52  6995.28 202.4381866 47.2263222    7.76    4.96 
3123 2459.75  6997.85 202.5049744 47.2263603    6.72    3.03 
3124 4917.26  6998.09 202.4547119 47.2263680    6.78    3.07 
3125 5305.11  6998.09 202.4467773 47.2263641    6.88    3.24 
3126 2716.22  6999.97 202.4997253 47.2263908    8.36    4.23 
3127 2507.85  7001.25 202.5039978 47.2264061    8.06    4.56 
3128 4591.97  7002.02 202.4613647 47.2264214    6.58    2.90 
3129 4998.51  7002.90 202.4530487 47.2264328    6.84    4.37 
3130 1488.77  7004.57 202.5248413 47.2264442    8.01    5.06 
3131 2589.30  7004.02 202.5023346 47.2264442    6.96    3.74 
3132 3955.68  7004.69 202.4743805 47.2264595    6.76    3.17 
3133 5435.35  7005.67 202.4441223 47.2264709    6.86    3.59 
3134 4958.58  7006.19 202.4538727 47.2264786    7.96    3.90 
3135 6049.24  7006.90 202.4315643 47.2264824    8.61    4.09 
3136 3145.47  7011.46 202.4909515 47.2265511    6.76    3.10 
3137 2368.46  7013.89 202.5068512 47.2265816    6.56    2.97 
3138 5741.01  7015.35 202.4378662 47.2266006    6.68    2.75 
3139 2608.82  7017.08 202.5019226 47.2266273    6.00    3.85 
3140 2436.17  7017.73 202.5054626 47.2266350    6.86    3.05 
3141 2676.23  7021.07 202.5005493 47.2266846    6.46    3.71 
3142 5367.47  7020.80 202.4455109 47.2266808    6.72    3.07 
3143 5479.71  7021.57 202.4432068 47.2266884    6.40    3.27 
3144 5676.20  7025.31 202.4391937 47.2267418    8.06    4.26 
3145 2630.66  7026.03 202.5014801 47.2267532    6.86    4.30 
3146 5650.61  7026.19 202.4397125 47.2267532    6.78    3.05 
3147 5876.09  7026.75 202.4351044 47.2267609    8.36    4.02 
3148 3969.14  7028.26 202.4741058 47.2267876    6.72    3.59 
3149 2698.86  7032.11 202.5000916 47.2268372    6.78    3.33 
3150 5193.33  7032.26 202.4490662 47.2268410    6.96    3.73 
3151 5568.20  7033.09 202.4414062 47.2268486    8.06    3.89 
3152 4886.59  7033.98 202.4553375 47.2268639    7.18    3.51 
3153 5745.06  7033.79 202.4377899 47.2268600    6.72    3.44 
3154 4393.60  7035.20 202.4654236 47.2268829    6.72    2.91 
3155 5334.10  7035.30 202.4461823 47.2268829    6.86    3.03 
3156 2764.21  7038.06 202.4987488 47.2269211    6.74    3.08 
3157 2268.09  7038.49 202.5088959 47.2269211    6.52    3.54 
3158 5248.58  7039.09 202.4479370 47.2269363    7.51    4.53 
3159 2783.34  7043.92 202.4983673 47.2270012    8.06    3.89 
3160 3980.94  7044.15 202.4738617 47.2270088    6.64    3.72 
3161 5384.63  7048.15 202.4451599 47.2270584    6.72    3.19 
3162 5274.43  7049.81 202.4474030 47.2270851    6.56    3.60 
3163 2740.58  7051.87 202.4992371 47.2271118    6.56    2.97 
3164 5423.79  7052.01 202.4443512 47.2271118    6.54    3.31 
3165 2842.89  7054.28 202.4971466 47.2271461    6.78    3.61 
3166 6026.72  7054.01 202.4320221 47.2271385    8.36    4.19 
3167 5293.20  7055.91 202.4470215 47.2271690    6.56    3.49 
3168 2625.33  7059.93 202.5015869 47.2272224    7.51    3.68 
3169 2574.82  7064.11 202.5026245 47.2272797    6.42    3.69 
3170 5325.41  7065.18 202.4463654 47.2272949    6.76    3.44 
3171 2679.74  7066.57 202.5004730 47.2273140    7.52    4.81 
3172 5277.00  7066.83 202.4473572 47.2273216    6.54    3.57 
3173 5143.65  7067.64 202.4500885 47.2273331    6.88    3.30 
3174 2402.29  7069.10 202.5061493 47.2273483    6.68    3.13 
3175 4929.75  7070.01 202.4544525 47.2273636    8.06    3.86 
3176 4909.45  7071.23 202.4548798 47.2273827    7.36    3.77 
3177 5419.10  7071.14 202.4444580 47.2273788    6.96    3.48 
3178 3586.71  7078.58 202.4819336 47.2274857   10.30    6.19 
3179 2877.44  7081.19 202.4964294 47.2275200    6.46    3.57 
3180 6097.95  7080.96 202.4305725 47.2275124    8.06    3.93 
3181 5442.15  7083.14 202.4439850 47.2275467    6.54    3.05 
3182 5142.00  7084.47 202.4501190 47.2275658    6.96    3.40 
3183 2679.94  7086.91 202.5004730 47.2275963    6.84    3.40 
3184 5604.44  7090.19 202.4406586 47.2276421    6.80    3.39 
3185 5644.79  7093.85 202.4398346 47.2276917    7.72    4.30 
3186 2100.57  7095.44 202.5123291 47.2277107    6.86    3.27 
3187 2575.17  7096.18 202.5026245 47.2277260    6.60    2.79 
3188 5247.36  7096.29 202.4479675 47.2277298    6.78    3.13 
3189 5558.59  7098.93 202.4416046 47.2277641    6.96    3.51 
3190 2855.44  7100.77 202.4968872 47.2277908    9.38    5.42 
3191 2526.66  7105.73 202.5036163 47.2278595    6.72    2.83 
3192 2735.97  7105.75 202.4993286 47.2278595    6.78    3.49 
3193 2757.05  7110.70 202.4989014 47.2279282    6.58    3.38 
3194 2921.54  7110.88 202.4955292 47.2279320    7.96    3.90 
3195 5897.98  7112.35 202.4346619 47.2279472    8.06    4.39 
3196 1645.40  7117.56 202.5216370 47.2280159    7.81    4.47 
3197 2711.34  7117.87 202.4998322 47.2280273    6.80    3.61 
3198 2777.21  7117.76 202.4984894 47.2280273    6.46    4.69 
3199 5315.96  7117.27 202.4465637 47.2280197    6.78    3.83 
3200 3341.53  7118.86 202.4869385 47.2280426    6.86    3.20 
3201 2739.94  7122.29 202.4992523 47.2280884    6.88    3.37 
3202 5417.83  7124.35 202.4444733 47.2281189    7.56    3.66 
3203 3283.52  7125.63 202.4881287 47.2281380    6.84    3.43 
3204  913.03  7132.45 202.5366211 47.2282143    8.31    4.26 
3205 4758.81  7132.50 202.4579620 47.2282333    7.02    3.31 
3206 5609.47  7132.36 202.4405518 47.2282295    8.06    4.64 
3207 2472.37  7132.75 202.5047150 47.2282333    6.78    2.95 
3208 2852.46  7135.07 202.4969482 47.2282677    8.41    4.12 
3209 2808.96  7137.51 202.4978333 47.2283020    8.31    4.16 
3210 2424.23  7137.64 202.5057068 47.2283020    8.46    4.88 
3211 5847.88  7137.43 202.4356842 47.2282982    8.36    4.48 
3212 3336.90  7139.13 202.4870453 47.2283249    6.74    3.13 
3213 5873.05  7141.38 202.4351654 47.2283516    8.36    4.44 
3214 2989.45  7143.78 202.4941406 47.2283897    6.96    3.56 
3215 5206.28  7144.01 202.4488068 47.2283936    7.02    3.33 
3216 7901.99  7146.15 202.3936615 47.2283974   10.30    6.28 
3217 2568.20  7151.08 202.5027618 47.2284889    6.54    2.78 
3218 4654.51  7151.23 202.4600830 47.2284927    7.81    3.81 
3219 2594.92  7152.41 202.5022125 47.2285080    6.00    3.58 
3220 3613.94  7154.39 202.4813690 47.2285385    6.78    3.48 
3221 2670.76  7155.91 202.5006714 47.2285576    6.78    2.79 
3222 2757.16  7156.88 202.4989014 47.2285690    6.58    3.57 
3223 2544.18  7161.65 202.5032501 47.2286339    6.82    3.14 
3224 2370.60  7163.23 202.5068054 47.2286568    6.96    3.61 
3225 2499.05  7164.20 202.5041809 47.2286682    6.64    2.73 
3226 2236.44  7167.29 202.5095520 47.2287102    6.94    4.01 
3227 2251.56  7167.60 202.5092316 47.2287140    6.72    3.35 
3228 3268.84  7168.77 202.4884338 47.2287369    6.82    3.50 
3229 5012.22  7168.98 202.4527740 47.2287407    8.06    4.00 
3230 4315.79  7169.98 202.4670105 47.2287560    8.06    4.30 
3231  654.95  7171.05 202.5419006 47.2287483    8.06    3.89 
3232 2204.68  7171.98 202.5101929 47.2287750    6.78    3.51 
3233 2410.88  7175.44 202.5059814 47.2288246    6.86    3.78 
3234 5552.95  7175.19 202.4417114 47.2288246    6.78    3.56 
3235 2365.35  7177.92 202.5069122 47.2288589    7.28    4.19 
3236 4019.56  7181.08 202.4730835 47.2289085    6.74    3.61 
3237 4937.88  7180.29 202.4542999 47.2288971    6.78    2.98 
3238 2335.26  7181.98 202.5075226 47.2289162    6.78    3.20 
3239 2965.59  7182.51 202.4946289 47.2289276    8.56    4.16 
3240 3359.40  7182.30 202.4865723 47.2289238    8.06    3.87 
3241 2238.50  7185.63 202.5095062 47.2289658    8.66    4.30 
3242 5422.11  7186.31 202.4443817 47.2289772    6.74    3.49 
3243 2466.50  7188.76 202.5048370 47.2290115    6.68    3.54 
3244 5219.37  7191.77 202.4485321 47.2290535    6.86    3.80 
3245 2435.56  7192.79 202.5054779 47.2290649    6.90    3.13 
3246 2118.77  7193.75 202.5119476 47.2290764    6.46    3.83 
3247 2374.10  7196.85 202.5067291 47.2291222    6.78    3.70 
3248 2482.84  7196.99 202.5045013 47.2291260    8.91    4.89 
3249 5492.32  7202.21 202.4429474 47.2291985    6.40    3.21 
3250 3402.28  7203.79 202.4857025 47.2292252    6.78    3.62 
3251 5047.95  7203.90 202.4520416 47.2292252    6.78    3.35 
3252 2870.59  7205.02 202.4965820 47.2292404    6.74    2.93 
3253 2474.39  7210.27 202.5046844 47.2293091    6.86    4.56 
3254 5548.63  7210.27 202.4418030 47.2293091    6.00    3.74 
3255 2738.33  7211.83 202.4992828 47.2293320    7.68    3.98 
3256 5532.79  7215.48 202.4421234 47.2293816    6.68    3.10 
3257 2352.20  7218.71 202.5071869 47.2294273    6.68    3.16 
3258 2841.19  7218.86 202.4971771 47.2294312    9.16    4.61 
3259 2998.50  7218.18 202.4939575 47.2294235    8.06    4.10 
3260 1437.96  7219.41 202.5258789 47.2294273    6.52    3.00 
3261 5516.31  7224.13 202.4424591 47.2295036    6.66    4.26 
3262 2446.93  7225.07 202.5052490 47.2295151    6.86    3.65 
3263 2879.40  7225.35 202.4963989 47.2295227    8.41    3.96 
3264 2463.98  7227.44 202.5048981 47.2295494    6.78    2.95 
3265  726.09  7230.93 202.5404358 47.2295799    6.78    3.09 
3266 5846.54  7241.93 202.4356995 47.2297478    8.61    4.26 
3267 5762.65  7244.43 202.4374237 47.2297821    8.31    4.15 
3268 5068.63  7247.57 202.4516144 47.2298317    6.88    3.63 
3269 4104.98  7251.41 202.4713287 47.2298851    8.36    4.33 
3270 2464.21  7252.40 202.5048828 47.2298965    6.78    3.04 
3271 4701.72  7252.29 202.4591217 47.2298965    9.11    4.89 
3272 2677.11  7256.74 202.5005341 47.2299576    6.68    3.05 
3273  958.87  7259.45 202.5356750 47.2299805    8.06    4.48 
3274 4673.98  7261.06 202.4596863 47.2300186    6.80    3.06 
3275 3002.93  7262.42 202.4938660 47.2300377    6.68    3.48 
3276 2331.59  7266.22 202.5075989 47.2300873    6.70    2.83 
3277 2896.45  7268.58 202.4960480 47.2301216    6.76    3.51 
3278 2355.95  7275.56 202.5071106 47.2302170    6.88    4.77 
3279 2297.08  7276.15 202.5083008 47.2302246    6.70    3.58 
3280 5617.02  7277.34 202.4403992 47.2302437    8.06    3.95 
3281 5246.93  7277.92 202.4479675 47.2302513    6.78    3.44 
3282 2651.85  7280.62 202.5010529 47.2302895    7.59    4.80 
3283 3062.97  7282.16 202.4926453 47.2303123    6.38    4.14 
3284 6110.92  7282.46 202.4302979 47.2303085    8.06    4.14 
3285 1958.04  7283.84 202.5152435 47.2303276    6.72    2.81 
3286 2467.19  7289.85 202.5048218 47.2304153    6.90    3.56 
3287 3078.00  7290.84 202.4923401 47.2304306    6.48    4.00 
3288 3840.06  7291.23 202.4767456 47.2304382    6.90    3.35 
3289 2906.41  7292.46 202.4958496 47.2304535    7.96    4.88 
3290 2508.32  7293.93 202.5039825 47.2304726    6.74    2.97 
3291 5128.68  7293.44 202.4503937 47.2304688    8.01    4.49 
3292 3015.55  7295.00 202.4936066 47.2304878    6.68    4.04 
3293 3981.57  7294.93 202.4738464 47.2304916    8.06    4.00 
3294 4362.00  7294.81 202.4660645 47.2304878    8.31    4.19 
3295  693.40  7304.89 202.5411072 47.2306061    8.06    4.34 
3296 2939.89  7308.15 202.4951630 47.2306709    6.64    2.99 
3297 3029.37  7310.77 202.4933319 47.2307091    6.84    3.01 
3298 4937.92  7310.48 202.4542847 47.2307053    6.82    3.47 
3299 1639.51  7312.07 202.5217590 47.2307167    8.96    4.42 
3300 2580.26  7314.54 202.5025177 47.2307587    6.68    3.57 
3301 5541.75  7314.94 202.4419403 47.2307663    6.72    2.79 
3302 5621.46  7317.69 202.4403076 47.2308006    6.80    3.70 
3303 4614.18  7318.69 202.4609070 47.2308197    6.00    3.82 
3304 2885.52  7323.22 202.4962769 47.2308807    8.26    4.67 
3305 3065.20  7324.02 202.4925995 47.2308922    6.90    3.62 
3306 3235.71  7325.17 202.4891052 47.2309074    6.76    3.48 
3307 2657.02  7327.35 202.5009460 47.2309380    7.51    3.72 
3308 3007.48  7331.52 202.4937744 47.2309952    6.64    3.06 
3309 4575.88  7333.16 202.4617004 47.2310219    6.74    2.88 
3310 3034.77  7333.86 202.4932251 47.2310295    6.24    4.15 
3311 4924.36  7335.10 202.4545746 47.2310486    8.46    4.46 
3312 5094.36  7334.78 202.4510956 47.2310410    7.72    3.88 
3313 4810.57  7336.50 202.4568939 47.2310677    8.96    4.61 
3314 2655.01  7343.90 202.5009918 47.2311668    6.80    3.73 
3315 3255.55  7343.64 202.4887085 47.2311668    6.76    3.35 
3316 2826.25  7347.84 202.4974823 47.2312241    6.72    3.37 
3317 4077.41  7348.42 202.4718933 47.2312317    6.44    3.36 
3318 4158.30  7348.16 202.4702454 47.2312279    8.06    4.34 
3319 3575.31  7349.28 202.4821625 47.2312431    6.00    4.10 
3320 2927.64  7350.02 202.4954071 47.2312546    8.31    4.64 
3321 4433.08  7357.77 202.4646149 47.2313614    8.46    4.67 
3322 3167.04  7369.08 202.4905090 47.2315178    6.44    3.66 
3323 3672.19  7371.02 202.4801788 47.2315483    6.00    4.18 
3324 6247.13  7370.47 202.4275055 47.2315331    8.06    4.21 
3325 4100.96  7373.57 202.4714050 47.2315826    6.02    3.48 
3326 3842.92  7375.84 202.4766846 47.2316132    8.01    4.77 
3327 3061.89  7377.38 202.4926605 47.2316322    6.00    3.75 
3328 4128.50  7383.51 202.4708405 47.2317200    8.06    4.63 
3329  725.95  7385.96 202.5404510 47.2317352    8.31    3.95 
3330 5420.53  7385.50 202.4444122 47.2317467    7.91    3.86 
3331 2522.81  7388.00 202.5036926 47.2317772    6.70    3.78 
3332 3082.32  7389.57 202.4922485 47.2318039    6.74    3.97 
3333 3053.83  7393.20 202.4928284 47.2318535    6.72    2.93 
3334 3834.49  7397.70 202.4768677 47.2319183    6.78    3.69 
3335 4230.25  7398.02 202.4687653 47.2319221    6.00    4.44 
3336 2737.82  7397.97 202.4992981 47.2319183    6.96    3.42 
3337 4256.10  7398.44 202.4682312 47.2319298    6.02    3.54 
3338 2771.99  7399.98 202.4985962 47.2319450    6.76    4.18 
3339 2864.08  7400.88 202.4967041 47.2319603    6.76    3.71 
3340 3632.08  7402.29 202.4810028 47.2319794    6.58    3.08 
3341 3210.81  7404.21 202.4896240 47.2320061    6.38    3.82 
3342 5109.69  7405.31 202.4507751 47.2320213    6.74    3.51 
3343 2889.87  7408.08 202.4961853 47.2320595    6.40    3.27 
3344 3035.57  7407.77 202.4932098 47.2320557    8.06    3.82 
3345 3162.71  7409.14 202.4906006 47.2320747    6.70    3.03 
3346 2654.45  7410.71 202.5010071 47.2320938    6.54    3.22 
3347 4261.92  7412.40 202.4681244 47.2321205    6.50    3.43 
3348  838.29  7413.76 202.5381470 47.2321205    7.96    4.39 
3349 1734.61  7417.19 202.5198212 47.2321777    8.86    4.61 
3350 3203.47  7418.43 202.4897766 47.2322044    6.74    3.67 
3351 4330.79  7425.22 202.4667053 47.2322998    6.76    2.99 
3352 2863.10  7427.23 202.4967346 47.2323265    6.92    3.48 
3353 3179.36  7426.63 202.4902649 47.2323189    6.32    3.70 
3354 3303.75  7434.05 202.4877167 47.2324219    6.78    3.47 
3355 4681.04  7435.64 202.4595490 47.2324448    6.78    3.89 
3356 4922.94  7440.40 202.4545898 47.2325096    8.06    4.25 
3357 2864.29  7452.08 202.4967041 47.2326698    6.78    3.40 
3358 3075.81  7456.45 202.4923859 47.2327309    6.56    3.59 
3359 3185.47  7455.59 202.4901428 47.2327194    6.78    3.02 
3360 2784.85  7458.49 202.4983368 47.2327576    6.54    3.76 
3361 3099.38  7458.25 202.4918976 47.2327576    6.02    3.65 
3362 4676.15  7462.09 202.4596405 47.2328110    6.40    4.18 
3363 2070.42  7466.21 202.5129395 47.2328606    6.58    2.75 
3364 3204.96  7468.56 202.4897461 47.2328987    6.78    3.13 
3365 4839.06  7469.16 202.4563141 47.2329102    6.74    3.30 
3366 3113.25  7469.91 202.4916077 47.2329178    6.94    3.53 
3367 1131.84  7471.01 202.5321503 47.2329216    8.91    4.39 
3368 3805.93  7472.98 202.4774475 47.2329636    6.38    3.67 
3369 3505.79  7473.79 202.4835815 47.2329750    6.78    3.33 
3370 2579.24  7475.36 202.5025330 47.2329903    6.78    3.30 
3371 4320.52  7474.82 202.4669189 47.2329903    6.78    3.25 
3372 4026.02  7478.47 202.4729462 47.2330399    6.90    3.54 
3373 2737.37  7490.76 202.4992981 47.2332077    6.76    3.15 
3374 4705.97  7493.69 202.4590302 47.2332497    6.46    3.75 
3375 2956.89  7495.42 202.4948120 47.2332726    6.78    2.85 
3376  980.06  7497.73 202.5352478 47.2332878    8.36    4.87 
3377 2976.26  7499.08 202.4944153 47.2333221    6.78    3.24 
3378 4386.83  7501.24 202.4655609 47.2333565    6.78    3.41 
3379 5277.31  7500.41 202.4473419 47.2333412    6.78    3.45 
3380 2925.28  7505.77 202.4954529 47.2334175    6.68    3.34 
3381 2349.36  7506.50 202.5072479 47.2334251    6.78    3.38 
3382 2779.91  7506.62 202.4984283 47.2334290    6.52    4.54 
3383 5388.93  7508.14 202.4450684 47.2334480    9.11    5.15 
3384 2681.08  7511.40 202.5004578 47.2334938    6.64    3.04 
3385 3699.91  7511.24 202.4796143 47.2334938    6.76    3.54 
3386 3146.00  7516.55 202.4909515 47.2335663    6.40    3.36 
3387 3021.90  7523.87 202.4934845 47.2336693    7.63    4.34 
3388 2776.59  7528.12 202.4985046 47.2337265    6.02    3.62 
3389 4290.31  7527.75 202.4675446 47.2337227    6.98    4.35 
3390 6135.23  7528.40 202.4297943 47.2337265    8.36    4.01 
3391 3049.51  7529.24 202.4929199 47.2337418    6.78    3.83 
3392 3614.95  7528.88 202.4813538 47.2337379    6.00    3.95 
3393 3752.42  7529.80 202.4785461 47.2337532    6.78    3.07 
3394 2745.26  7535.54 202.4991455 47.2338295    6.52    3.11 
3395 3377.72  7536.29 202.4862061 47.2338409    6.74    3.38 
3396 5257.17  7535.98 202.4477539 47.2338371    7.86    4.53 
3397 3980.59  7536.70 202.4738770 47.2338486    6.88    3.22 
3398 3394.85  7539.10 202.4858551 47.2338791    6.84    3.28 
3399 3830.38  7546.41 202.4769440 47.2339821    6.94    3.79 
3400 2497.56  7547.96 202.5042114 47.2340012    6.94    3.58 
3401 3777.41  7548.41 202.4780273 47.2340126    6.80    3.38 
3402 4293.67  7549.40 202.4674683 47.2340240    8.31    4.12 
3403 2344.78  7550.16 202.5073395 47.2340279    7.91    4.49 
3404 3604.18  7552.06 202.4815674 47.2340622    6.54    4.36 
3405 3384.75  7553.45 202.4860687 47.2340813    6.54    2.90 
3406 3999.78  7553.65 202.4734802 47.2340851    8.06    4.46 
3407  813.14  7555.15 202.5386658 47.2340851    8.06    4.02 
3408 3024.04  7561.08 202.4934387 47.2341843    6.48    3.38 
3409 3192.91  7562.86 202.4899902 47.2342110    6.74    4.23 
3410 3033.09  7573.59 202.4932556 47.2343597    6.50    4.16 
3411 5047.34  7575.15 202.4520569 47.2343826    8.06    4.08 
3412 4168.49  7576.48 202.4700317 47.2344017    6.78    3.08 
3413 2191.52  7581.36 202.5104675 47.2344627    6.70    3.26 
3414 3228.99  7583.60 202.4892426 47.2344971    6.74    3.01 
3415 3098.80  7587.75 202.4919128 47.2345543    6.00    3.84 
3416 4501.62  7589.19 202.4632111 47.2345772    8.36    4.02 
3417 3603.75  7590.81 202.4815826 47.2346001    6.52    3.22 
3418 5337.37  7591.58 202.4461212 47.2346077    6.78    3.14 
3419 3141.67  7594.64 202.4910278 47.2346497    8.61    4.66 
3420 1247.33  7595.05 202.5297852 47.2346420    7.96    4.45 
3421 3049.34  7595.66 202.4929199 47.2346649    6.78    3.09 
3422 2227.70  7596.73 202.5097351 47.2346764    6.40    4.04 
3423 3086.96  7597.15 202.4921570 47.2346878    6.78    3.43 
3424 3770.12  7596.71 202.4781799 47.2346802    6.78    4.14 
3425 5122.58  7597.13 202.4505157 47.2346878   10.27    6.27 
3426 4170.56  7603.44 202.4699860 47.2347755    6.72    3.00 
3427 4485.12  7605.06 202.4635468 47.2347984    7.91    4.16 
3428 3170.54  7606.06 202.4904480 47.2348099    6.70    3.17 
3429 3018.73  7613.38 202.4935455 47.2349129    8.06    4.89 
3430 3077.75  7613.10 202.4923401 47.2349091    6.82    4.10 
3431 4159.01  7614.89 202.4702301 47.2349358    6.78    3.78 
3432 3939.90  7618.47 202.4747009 47.2349854    6.00    4.62 
3433 3362.01  7619.08 202.4865265 47.2349930    6.84    3.11 
3434 4239.87  7625.18 202.4685669 47.2350769    8.36    4.15 
3435  785.78  7627.25 202.5392303 47.2350845    8.71    4.30 
3436 1894.40  7630.23 202.5165558 47.2351379    8.06    4.15 
3437 2238.16  7631.35 202.5095215 47.2351570    6.38    3.50 
3438 3884.41  7635.43 202.4758453 47.2352180    7.91    4.62 
3439 2116.06  7647.24 202.5120087 47.2353783    8.01    4.65 
3440 3520.06  7646.81 202.4832916 47.2353783    6.94    3.75 
3441 5087.38  7648.84 202.4512329 47.2354050    8.01    4.24 
3442 3212.78  7649.96 202.4895782 47.2354202    6.72    3.43 
3443 2535.64  7655.23 202.5034332 47.2354889    6.00    4.21 
3444 3099.43  7654.75 202.4918976 47.2354851    6.00    4.03 
3445 4167.28  7659.98 202.4700470 47.2355614    6.00    3.83 
3446 2253.55  7665.86 202.5092010 47.2356377    6.46    3.38 
3447 3879.59  7665.62 202.4759369 47.2356377    9.16    4.89 
3448 4466.98  7667.06 202.4639282 47.2356606    7.81    4.06 
3449 2985.87  7668.23 202.4942169 47.2356720    6.54    3.14 
3450 3565.50  7667.75 202.4823608 47.2356682    8.06    4.43 
3451 2841.37  7670.84 202.4971771 47.2357101    6.78    2.71 
3452 3548.60  7670.80 202.4827118 47.2357101    6.78    3.43 
3453 4267.03  7673.04 202.4680176 47.2357407    8.01    4.01 
3454 3062.85  7673.64 202.4926453 47.2357483    6.72    3.71 
3455 2936.93  7680.12 202.4952240 47.2358360    6.54    4.05 
3456 3184.46  7680.21 202.4901581 47.2358398    6.74    3.09 
3457 2232.85  7684.44 202.5096283 47.2358932    6.00    3.89 
3458 2211.89  7694.48 202.5100555 47.2360344    6.52    3.88 
3459 3086.00  7693.17 202.4921722 47.2360191    6.78    3.44 
3460 3177.67  7697.45 202.4902954 47.2360802    6.92    3.61 
3461 2240.63  7697.80 202.5094604 47.2360802    6.26    3.61 
3462 2967.91  7697.72 202.4945831 47.2360840    6.62    3.16 
3463 1504.26  7700.05 202.5245361 47.2361031    8.06    4.43 
3464 2070.50  7706.20 202.5129547 47.2361946    6.84    4.09 
