Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
 224 4648.28  1877.72 202.4602356 47.1552467    6.94    3.50 
 225 4564.90  1880.90 202.4619293 47.1552925    6.78    3.92 
 226 6292.02  1880.06 202.4266510 47.1552734    8.31    4.23 
 227 6308.89  1884.53 202.4263153 47.1553345    6.70    3.61 
 228 5120.55  1886.18 202.4505920 47.1553650    7.96    4.13 
 229 4042.21  1900.25 202.4726105 47.1555634    8.76    4.37 
 230 4939.67  1910.24 202.4542847 47.1557007    6.86    3.17 
 231 4565.35  1911.51 202.4619293 47.1557198    8.01    4.28 
 232 4913.55  1912.28 202.4548187 47.1557274    6.54    3.58 
 233 3817.10  1914.87 202.4772034 47.1557655    6.00    4.06 
 234 3302.65  1916.93 202.4877167 47.1557922    6.78    2.80 
 235 3342.65  1918.62 202.4868927 47.1558151    6.78    2.95 
 236 6052.90  1923.13 202.4315338 47.1558723    8.51    5.22 
 237 7381.51  1923.77 202.4044037 47.1558685    8.06    4.15 
 238 6836.36  1925.44 202.4155426 47.1558990    8.36    4.24 
 239 4279.84  1926.68 202.4677582 47.1559296    6.76    3.61 
 240 6358.49  1928.67 202.4252930 47.1559486    7.51    4.07 
 241 2821.98  1929.72 202.4975281 47.1559677    8.01    4.15 
 242 4580.13  1934.43 202.4616241 47.1560364    6.78    2.97 
 243 6805.56  1937.04 202.4161682 47.1560593    8.06    4.65 
 244 3944.34  1941.53 202.4746094 47.1561356    6.00    3.85 
 245 6027.49  1945.43 202.4320526 47.1561813    8.01    3.79 
 246 3317.87  1947.83 202.4874115 47.1562233    6.78    3.05 
 247 5514.46  1948.75 202.4425354 47.1562309    8.01    3.80 
 248 7664.96  1949.35 202.3986206 47.1562195    8.06    3.96 
 249 4099.49  1952.99 202.4714355 47.1562958    7.91    4.48 
 250 5006.86  1953.21 202.4529114 47.1562958    6.86    3.31 
 251 4555.32  1954.29 202.4621277 47.1563110    6.78    3.19 
 252 4520.99  1959.38 202.4628296 47.1563835    6.72    2.77 
 253 7623.08  1959.22 202.3994751 47.1563606    6.78    3.00 
 254 3913.35  1960.25 202.4752502 47.1563950    8.36    4.08 
 255 5665.16  1961.45 202.4394531 47.1564064    8.86    4.40 
 256 4588.80  1967.60 202.4614410 47.1564980    6.58    3.59 
 257 4612.80  1972.22 202.4609528 47.1565628    6.34    4.15 
 258 2466.01  1973.48 202.5048065 47.1565742    8.06    4.13 
 259 3930.80  1974.51 202.4748840 47.1565933    6.64    3.21 
 260 4844.23  1983.61 202.4562225 47.1567192    6.88    3.50 
 261 5162.57  1984.58 202.4497223 47.1567307    8.06    4.51 
 262 5882.46  1984.31 202.4350281 47.1567230    6.78    3.50 
 263 6844.04  1987.27 202.4153748 47.1567574    8.56    4.45 
 264 6772.83  1987.77 202.4168396 47.1567650    8.06    4.96 
 265 5563.44  1991.86 202.4415436 47.1568298    8.66    4.19 
 266 6547.59  1997.49 202.4214325 47.1569023    6.84    3.65 
